,Timestamp,Are you openly identified at work as a person with a mental health issue?,Are you self-employed?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever discuss your mental health with your previous employer?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Do you currently have a mental health disorder?,Do you have a family history of mental illness?,Do you have previous employers?,Do you know the options for mental health care available under your employer-provided health coverage?,Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Does your employer provide mental health benefits as part of healthcare coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Have you ever discussed your mental health with coworkers?,Have you ever discussed your mental health with your employer?,Have you ever had a coworker discuss their or another coworker's mental health with you?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Have you had a mental health disorder in the past?,Have you observed or experienced a supportive or well handled response to a mental health issue in your current or previous workplace?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,Have your previous employers provided mental health benefits?,How many employees does your company or organization have?,How willing would you be to share with friends and family that you have a mental illness?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?","If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?","If you have a mental health disorder, how often do you feel that it interferes with your work when NOT being treated effectively (i.e., when you are experiencing symptoms)?","If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,"Overall, how much importance did your previous employer place on mental health?","Overall, how much importance did your previous employer place on physical health?","Overall, how much importance does your employer place on mental health?","Overall, how much importance does your employer place on physical health?","Overall, how well do you think the tech industry supports employees with mental health issues?",Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Was your employer primarily a tech company/organization?,Were you aware of the options for mental health care provided by your previous employers?,What country do you live in?,What country do you work in?,What is your age?,What is your gender?,What is your race?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up your mental health with a potential employer in an interview?,Would you feel comfortable discussing a mental health issue with your coworkers?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?
267,1,0,0,0,0,0,2,1,0,1,1,0,0,2,0,0,0,0,0,1,3,3,2,0,1,5,4,2,4,3,2,1,1,3,3,5,5,2,2,1,2,3,4,58,1,3,0,0,2,2,2,0,2,2
268,1,0,0,0,0,0,1,0,2,2,1,2,0,0,0,0,0,0,0,2,1,1,3,1,5,3,3,1,1,1,2,1,1,1,1,1,1,1,0,1,1,45,46,42,0,3,0,0,0,0,1,1,1,1
269,1,0,0,0,0,0,1,0,1,1,1,2,0,2,2,0,0,0,1,1,3,1,0,1,1,2,2,9,2,3,2,1,1,6,6,8,9,1,0,1,1,16,15,41,1,3,2,0,0,0,1,1,1,1
270,1,1,0,0,0,0,3,2,3,0,1,1,0,1,0,0,0,1,0,3,2,2,0,3,3,6,5,5,3,4,1,1,1,6,8,10,8,3,3,1,3,21,20,25,1,3,1,2,0,0,1,1,1,1
271,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,3,0,0,2,3,7,5,8,2,2,1,1,1,3,6,9,9,3,0,1,3,52,54,31,0,3,1,0,0,1,1,1,2,1
272,1,0,0,1,0,0,1,0,1,2,1,0,0,0,0,1,1,0,1,2,0,0,0,1,0,9,4,5,4,3,2,1,1,2,7,2,7,2,0,1,1,52,54,42,1,3,0,0,2,1,2,0,2,2
273,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,3,8,5,6,2,4,1,1,1,1,6,5,8,2,0,0,0,52,54,35,2,3,1,2,0,2,1,1,1,1
274,1,0,0,0,0,0,1,0,2,0,1,1,0,1,0,0,0,0,1,1,1,3,3,1,3,5,2,5,1,1,0,1,1,0,7,3,9,2,0,1,1,29,29,24,1,3,2,0,0,2,1,1,1,1
275,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,3,1,2,3,9,1,4,2,0,2,1,1,1,8,5,10,3,0,1,0,52,54,37,1,3,0,0,2,2,1,0,2,1
276,1,0,0,0,0,1,1,1,2,0,1,2,2,2,1,0,0,1,0,0,1,3,1,1,3,2,2,5,1,1,2,1,1,3,3,6,5,2,1,1,3,26,25,32,1,3,2,0,0,0,1,1,1,1
279,1,0,0,0,0,0,1,0,3,2,1,0,0,0,2,0,0,0,1,3,1,0,3,1,0,4,0,5,2,4,2,1,1,0,7,3,7,1,1,1,1,52,54,30,1,3,2,0,0,2,1,1,1,1
280,1,0,0,0,0,0,1,0,2,2,1,0,0,2,0,0,0,0,0,2,1,1,0,0,3,0,1,5,1,1,2,1,1,4,0,5,2,2,0,1,2,15,14,27,1,3,1,0,0,0,1,1,1,1
282,1,0,0,0,0,0,1,0,3,2,1,0,0,2,0,0,0,0,1,1,1,1,0,0,5,6,4,7,3,3,2,1,1,6,6,7,7,3,0,1,2,52,54,41,1,3,0,0,0,2,1,1,0,1
283,1,0,0,0,0,0,2,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,3,0,0,6,0,2,1,1,2,1,1,5,5,5,8,2,2,1,2,52,54,39,1,3,0,0,0,2,1,0,2,1
284,1,0,0,0,0,0,1,0,1,0,1,1,2,1,0,1,1,0,1,1,2,2,0,2,3,9,4,5,2,4,2,1,1,4,5,6,9,3,0,1,0,52,54,42,1,3,1,2,2,2,2,0,1,1
285,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,3,0,0,1,4,10,5,9,4,3,1,1,0,3,5,8,8,3,0,0,2,52,54,28,0,3,1,2,1,1,2,0,1,1
286,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,2,1,5,1,0,8,2,4,2,1,1,3,5,3,7,3,0,0,1,52,54,29,1,3,1,0,2,0,1,0,1,1
287,1,0,0,0,0,0,2,1,0,0,1,0,2,1,0,0,0,1,1,1,3,1,3,0,3,2,5,6,1,1,2,1,1,0,0,5,5,2,0,0,2,52,54,46,1,3,0,0,1,2,1,0,2,1
288,1,0,0,0,0,0,2,1,2,0,1,1,1,1,1,0,0,0,0,0,1,1,0,3,3,10,5,8,3,3,1,1,1,5,8,7,8,2,3,1,0,52,54,34,1,3,1,1,2,2,2,1,0,2
289,1,0,0,1,1,0,2,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,2,5,10,1,5,2,4,2,1,1,7,7,5,7,3,3,0,0,16,15,28,1,3,2,0,1,1,1,0,2,1
290,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,3,1,3,0,3,0,8,4,6,1,3,1,1,1,4,5,5,5,1,3,1,4,16,15,38,1,3,1,1,1,1,2,0,3,2
292,1,0,0,0,0,0,1,0,2,2,1,1,0,1,0,1,1,0,0,3,1,0,0,3,0,7,1,5,2,3,1,1,1,7,8,6,6,2,3,1,4,52,54,38,0,3,2,2,2,2,1,0,2,1
294,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,2,2,0,1,4,10,5,8,1,1,1,1,0,5,5,10,10,3,0,0,2,15,14,44,0,3,2,0,2,2,2,1,1,2
295,1,0,0,0,0,0,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,0,3,3,9,5,7,3,3,2,1,1,6,6,8,8,2,3,1,4,52,54,34,1,3,0,0,1,1,2,0,2,1
296,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,2,3,1,1,1,1,3,2,4,2,1,1,0,7,0,7,2,0,1,1,52,54,29,0,3,2,0,2,0,1,0,0,1
298,1,0,0,1,0,1,1,0,2,0,1,0,2,2,0,0,0,0,0,3,0,1,2,0,1,8,1,3,0,3,2,1,1,5,5,8,6,2,0,1,2,42,43,41,1,3,0,0,2,0,1,0,2,1
299,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,3,1,0,2,1,6,5,5,1,1,1,1,1,3,7,5,5,3,0,1,0,52,54,33,1,3,2,0,2,0,1,0,2,1
300,1,0,0,0,0,0,2,1,2,0,1,0,1,1,1,0,0,0,0,2,2,2,3,2,3,1,5,3,1,1,1,1,1,4,7,4,6,2,0,1,3,15,14,44,1,3,0,0,0,0,1,1,1,1
302,1,0,0,1,0,0,2,0,3,2,1,1,0,1,0,0,0,1,0,3,0,1,0,2,5,3,3,7,1,1,2,1,1,1,5,7,6,2,0,1,0,52,54,32,0,3,2,0,2,2,1,0,2,1
303,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,3,3,7,4,4,1,1,1,1,1,3,3,8,5,4,2,1,0,23,22,35,0,3,0,0,1,2,1,3,2,1
306,1,0,0,0,0,0,1,0,3,1,1,0,2,2,2,0,0,0,0,3,1,1,3,0,3,4,4,6,4,1,2,1,1,3,6,7,9,3,0,1,2,52,54,34,1,6,0,0,2,1,1,1,2,1
308,1,1,0,1,0,1,1,0,1,2,1,1,1,1,1,1,1,0,1,1,2,1,0,0,1,8,5,5,4,4,1,1,1,5,5,8,7,4,0,1,2,51,53,33,1,3,2,2,1,1,2,0,1,1
309,1,0,0,0,0,0,0,0,2,2,1,0,1,1,1,1,1,1,0,2,0,3,2,0,3,5,1,7,1,1,1,1,1,5,7,7,7,1,0,1,2,52,54,41,1,3,1,2,2,1,1,0,2,1
310,1,0,0,0,0,1,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,3,1,0,1,4,2,1,1,1,1,1,3,3,4,3,3,0,0,1,16,15,34,1,3,2,0,2,2,1,0,1,1
311,1,0,0,0,0,0,1,0,1,2,1,1,1,1,1,0,1,0,1,3,2,3,0,0,3,3,4,9,4,3,2,1,1,1,5,8,6,2,0,1,2,52,54,28,1,3,1,0,2,1,1,1,2,1
312,1,0,0,0,0,0,2,1,0,0,1,0,2,2,0,0,0,0,0,0,1,1,2,2,1,2,5,7,1,1,2,1,1,5,5,3,5,2,2,1,0,51,53,39,1,3,0,0,2,1,1,0,2,1
313,1,0,0,0,0,0,1,0,3,2,1,0,0,1,0,0,0,0,0,3,1,1,2,3,5,5,0,0,2,1,2,1,1,0,1,0,1,1,0,1,2,52,54,45,1,3,0,0,0,0,1,1,1,2
314,1,0,0,0,0,0,1,0,3,2,1,0,0,2,0,0,1,0,1,2,2,2,0,0,1,8,2,6,2,3,2,1,1,0,0,3,3,1,0,1,2,15,14,27,1,3,2,0,2,2,1,1,1,1
315,1,0,0,0,0,0,1,1,1,2,1,1,1,1,0,0,0,0,1,1,1,1,0,3,3,4,2,3,2,2,2,1,1,3,6,5,7,2,0,1,0,52,54,31,0,3,2,0,0,2,1,1,2,1
316,1,0,0,0,0,0,1,0,3,2,1,2,0,2,0,0,0,0,0,3,1,0,0,1,1,2,1,6,4,1,2,1,1,0,2,3,0,1,0,1,2,31,54,44,1,3,2,0,2,2,2,0,2,1
317,1,0,0,1,0,1,1,0,0,1,1,0,2,1,0,0,1,1,0,0,0,3,0,3,5,7,4,7,1,1,2,1,1,6,6,6,6,3,0,1,2,15,14,31,1,3,1,2,2,0,1,3,0,1
318,1,1,0,0,0,0,0,0,1,2,1,1,1,1,0,1,1,1,1,1,2,0,0,0,1,10,1,7,2,4,2,1,1,8,8,8,8,3,0,0,2,52,54,23,1,3,0,0,1,1,2,0,2,2
319,1,0,0,0,1,0,2,1,0,2,1,0,2,2,0,0,0,1,0,3,3,0,0,2,1,8,1,6,1,1,2,1,1,7,7,1,2,2,0,1,0,15,14,38,1,3,1,0,2,0,1,0,2,1
320,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,2,3,5,4,4,7,0,3,2,1,1,3,6,5,6,3,0,1,3,15,26,33,1,3,0,0,2,2,1,1,1,1
322,1,0,0,0,0,0,1,0,2,1,1,0,2,2,0,0,1,0,0,0,1,1,0,0,0,0,4,7,1,1,2,1,1,2,6,3,6,4,0,1,2,52,54,29,0,3,1,0,0,2,1,1,0,1
323,1,0,0,0,0,0,1,0,2,0,1,0,0,2,0,0,0,0,0,2,1,1,3,0,1,4,4,4,1,1,2,1,1,4,6,8,8,2,1,1,2,6,7,29,1,3,0,0,2,2,1,1,1,1
324,1,0,0,0,0,0,1,0,1,2,1,0,0,2,0,1,1,1,1,1,2,1,2,0,1,10,4,7,2,4,2,1,1,5,8,6,6,3,0,1,2,52,54,37,1,3,1,1,1,1,2,0,2,1
325,1,1,0,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,0,2,1,5,4,8,2,4,1,1,1,3,5,8,8,2,0,0,0,52,54,29,0,3,2,0,1,2,2,0,2,1
326,1,0,0,1,1,1,2,0,1,1,1,2,2,3,2,1,0,0,1,1,2,0,0,3,5,10,4,6,2,3,2,1,1,7,7,8,8,4,0,0,4,52,54,27,0,3,2,0,1,1,2,3,3,2
328,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,2,1,0,1,3,7,4,9,2,3,1,1,1,3,6,9,9,4,0,1,1,48,50,29,1,3,2,2,1,1,2,0,2,1
330,1,1,0,1,1,1,2,1,1,1,1,0,0,0,1,1,1,1,1,1,2,2,2,2,0,10,4,6,2,1,2,1,1,6,8,8,10,2,3,1,0,51,53,30,0,3,1,1,1,1,2,0,2,1
331,1,0,0,0,0,0,1,0,3,2,1,1,1,1,1,0,0,0,0,2,3,3,2,1,2,7,4,8,1,1,1,1,1,0,0,8,8,4,1,0,1,52,54,32,1,3,2,2,2,2,2,1,1,2
332,1,1,0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,0,3,1,10,4,5,4,3,1,1,1,7,8,7,7,3,0,1,0,52,54,37,1,3,2,2,1,1,2,0,2,1
333,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,3,1,5,0,4,5,1,1,2,1,1,2,8,2,8,1,0,0,1,32,32,34,1,3,0,0,2,0,1,1,0,2
334,1,0,0,0,0,0,2,1,0,1,1,1,1,1,1,1,1,1,1,0,3,1,0,3,1,10,5,9,1,1,1,1,0,7,7,10,7,5,0,0,4,52,54,52,1,3,1,1,1,1,2,3,3,2
337,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,3,1,2,3,1,0,5,6,1,1,1,1,0,0,0,10,10,1,3,1,2,52,54,49,0,2,1,0,1,2,1,1,1,1
338,1,0,0,0,1,0,0,2,1,2,1,1,1,1,2,0,1,0,1,1,1,3,3,2,3,10,1,4,2,4,2,1,1,2,6,6,10,2,0,1,4,52,54,30,1,3,2,0,2,2,1,1,2,1
339,1,1,0,1,1,0,1,0,1,1,1,0,0,3,0,1,1,0,1,1,2,1,0,1,5,10,5,6,2,4,2,1,1,4,4,6,5,4,0,1,1,1,1,41,1,3,2,2,1,1,2,0,3,2
341,1,0,0,0,0,0,2,1,1,0,1,1,1,1,1,0,0,0,1,0,1,3,1,3,3,10,5,0,2,4,2,1,1,10,8,10,7,1,2,1,4,52,54,37,1,4,0,0,0,0,1,1,1,1
342,1,1,0,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,3,1,7,5,8,2,4,1,1,1,3,5,8,8,3,0,0,0,52,54,29,0,3,2,2,1,2,2,0,1,1
343,1,1,0,0,0,0,2,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,0,2,2,8,5,5,2,3,1,1,1,5,8,6,8,3,3,1,0,52,54,39,0,6,2,2,1,1,2,0,2,1
344,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,1,9,5,5,2,2,2,1,1,5,5,5,5,3,0,1,0,52,54,30,0,3,0,0,1,1,2,0,2,1
345,1,0,0,0,1,0,2,1,1,1,1,1,0,1,1,1,1,1,1,1,2,3,0,2,0,8,4,10,2,3,1,1,1,10,10,8,10,2,0,1,0,52,54,23,0,3,2,0,1,1,2,1,2,2
346,1,0,0,0,0,1,1,0,1,1,1,1,2,1,0,1,1,0,1,1,2,1,0,2,0,10,5,10,2,4,1,1,1,4,6,8,7,2,3,1,0,52,54,38,1,3,2,2,2,1,2,0,2,1
347,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,2,1,2,3,7,1,2,2,4,2,1,1,2,5,3,7,1,0,1,0,52,54,41,0,3,2,0,0,0,1,0,1,1
348,1,0,0,1,0,1,2,1,0,0,1,1,1,1,0,1,0,1,0,0,3,3,0,3,1,10,5,10,1,1,2,1,1,6,7,7,5,3,3,1,4,52,54,47,1,3,1,2,1,1,2,0,2,1
349,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,3,2,5,9,3,7,4,4,2,1,1,5,7,5,7,1,0,0,0,52,54,56,0,3,2,0,0,2,1,0,2,1
350,1,0,0,0,0,0,2,1,3,2,1,0,2,2,0,0,0,0,0,3,0,3,0,2,1,3,0,2,2,3,2,1,1,7,7,3,4,2,0,1,3,52,54,22,1,3,2,2,0,0,1,1,2,1
351,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0,2,1,7,5,6,2,4,1,1,1,1,3,8,7,2,0,1,0,52,54,32,0,3,0,0,1,1,2,0,2,1
352,1,0,0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,1,1,0,3,2,1,5,1,4,4,2,4,0,1,0,3,8,3,5,4,1,1,1,52,54,30,0,3,2,0,2,0,1,1,1,1
353,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,2,1,2,1,10,2,7,2,4,2,1,1,0,10,4,7,1,0,0,0,52,54,31,2,3,2,0,0,0,1,3,2,1
354,1,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,1,1,1,1,1,1,2,0,1,7,5,5,2,3,1,1,1,5,9,5,7,3,0,0,2,52,54,36,1,3,0,0,1,1,2,1,3,1
355,1,0,0,0,1,0,1,1,1,1,1,1,2,1,0,1,1,1,1,1,2,2,0,2,1,10,4,7,2,4,1,1,1,2,7,3,5,1,1,1,2,52,54,32,1,3,2,0,1,2,2,0,2,1
356,1,1,0,1,0,1,2,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,2,2,5,7,4,10,2,4,2,1,1,8,10,10,10,2,0,1,0,52,54,37,0,3,2,0,1,1,2,0,2,1
358,1,0,0,1,0,0,1,0,1,2,1,1,0,1,0,1,0,0,1,0,3,1,1,2,0,8,4,3,2,3,2,1,1,7,8,5,3,3,0,0,4,52,54,31,0,6,2,0,0,0,1,1,1,2
359,1,1,0,0,0,0,2,1,1,1,1,1,1,1,0,1,0,1,1,1,3,1,0,2,1,8,2,6,4,1,2,1,1,5,5,5,5,3,2,1,0,52,54,39,1,3,2,0,2,2,1,1,2,1
361,1,0,0,1,0,0,1,0,0,0,1,0,2,2,0,1,0,0,0,0,3,1,0,1,3,6,2,5,3,4,2,1,1,6,8,5,7,2,0,1,2,51,53,38,1,3,2,0,2,0,1,0,2,1
362,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,2,1,7,4,5,4,3,1,1,1,7,10,9,9,4,3,1,0,52,54,33,0,3,0,0,1,2,2,1,0,2
363,1,0,0,1,0,1,1,0,3,2,1,0,0,0,2,1,1,1,0,3,2,0,0,1,5,8,2,9,2,4,2,1,1,7,9,8,8,2,0,0,1,49,51,38,1,3,2,2,1,1,2,0,2,2
364,1,0,0,0,0,0,1,0,3,1,1,0,2,1,1,1,0,1,1,1,3,1,0,1,1,5,2,10,2,4,2,1,1,5,5,5,5,4,0,0,2,52,54,36,0,3,2,0,1,1,2,1,1,1
365,1,0,0,1,1,1,2,1,0,2,1,2,0,0,0,0,0,1,0,0,0,2,2,2,1,0,4,2,1,1,2,1,1,0,0,0,0,1,2,1,0,52,54,30,0,3,0,0,2,2,2,0,2,2
366,1,0,0,0,1,0,1,0,1,1,1,2,0,0,0,1,1,0,1,3,2,0,3,1,0,7,4,6,2,3,2,1,1,5,5,6,6,2,0,1,1,6,7,35,0,3,2,0,2,0,1,0,2,2
367,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,2,1,0,3,5,10,3,10,2,3,1,1,1,0,4,5,7,2,3,1,0,52,54,26,1,3,0,1,1,1,2,0,1,1
369,1,0,0,0,1,0,1,1,0,2,1,1,1,3,1,0,0,0,1,1,2,0,0,3,1,5,3,5,2,4,1,1,1,5,8,8,7,2,3,1,4,52,54,40,1,3,0,0,0,0,1,2,1,1
370,1,0,0,0,0,0,2,0,0,2,1,1,0,1,0,0,0,1,0,0,0,3,3,2,5,4,5,5,1,1,1,1,1,2,6,2,6,1,3,1,0,6,7,31,1,3,1,0,2,1,1,0,2,1
371,1,0,0,0,0,0,1,0,3,2,1,0,2,1,0,1,0,1,1,3,0,0,2,2,0,4,2,4,3,3,2,1,1,3,4,6,8,2,0,1,0,52,54,49,1,3,2,0,2,2,2,0,2,1
372,1,0,0,0,0,0,1,0,3,1,1,0,0,2,0,0,0,0,0,0,1,1,2,1,0,4,5,5,1,1,2,1,1,2,5,6,7,2,0,1,1,31,31,30,1,3,2,2,2,0,1,0,2,1
375,1,0,0,1,1,1,1,1,3,1,1,1,2,2,0,0,0,0,1,2,1,1,0,2,1,5,2,5,4,3,1,1,1,5,8,8,10,3,0,1,0,52,54,29,0,3,2,0,2,1,1,0,2,1
377,1,1,0,1,0,1,1,0,1,1,1,2,1,1,0,1,0,1,1,1,3,0,3,2,1,10,5,8,4,3,1,1,0,2,2,9,7,2,0,1,3,52,54,50,0,3,0,0,1,2,1,0,1,1
378,1,0,0,0,0,1,3,2,3,0,1,0,2,2,0,0,0,0,0,2,1,1,0,2,5,0,5,5,3,3,2,1,1,7,9,5,5,2,2,0,0,52,54,39,1,3,2,0,1,1,2,0,2,2
380,1,0,0,0,0,1,1,0,0,1,1,1,1,1,2,0,0,1,1,1,0,1,0,0,1,8,1,8,4,4,2,1,1,2,5,5,5,3,0,1,2,52,54,31,1,3,2,2,2,2,2,1,1,1
382,1,1,0,0,0,0,1,0,1,1,1,0,1,1,2,1,0,1,1,1,3,0,0,0,1,7,4,7,2,3,2,1,1,3,5,7,5,3,0,1,0,52,54,31,0,3,0,0,2,0,1,0,0,1
383,1,0,0,0,0,0,1,0,2,0,1,1,1,1,0,0,0,0,1,2,1,1,2,1,1,3,5,9,1,3,1,1,0,0,0,9,5,3,0,1,1,52,54,25,0,3,2,0,2,1,1,1,1,1
385,1,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,0,0,0,3,1,0,2,0,3,4,1,8,4,4,2,1,1,4,7,7,7,2,0,1,2,51,53,37,1,3,2,0,2,2,1,1,0,1
386,1,0,0,0,0,0,2,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,3,2,3,8,1,4,4,3,1,1,1,0,6,6,10,2,3,0,4,52,54,45,0,3,0,0,0,0,1,1,1,1
388,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,3,0,1,10,5,6,1,1,1,1,1,2,1,10,10,3,0,0,2,52,54,28,1,3,0,0,2,2,2,0,1,1
390,1,0,0,0,0,1,0,2,1,1,1,0,1,2,2,0,0,0,1,1,0,3,0,0,2,6,0,3,4,3,2,1,1,6,8,6,7,2,0,1,2,52,54,52,0,3,1,0,2,2,1,1,2,1
391,1,0,0,0,1,0,1,1,3,2,1,0,0,2,0,0,0,0,0,0,1,1,3,2,0,7,3,5,1,1,2,1,1,5,5,5,5,3,0,0,0,52,54,33,1,3,1,1,2,1,1,0,2,2
392,1,1,0,0,0,0,1,0,1,1,1,0,2,1,0,1,0,1,1,1,2,0,2,1,1,7,4,5,4,4,2,1,1,1,1,6,7,2,0,1,2,52,54,41,0,6,0,0,1,2,2,0,1,1
393,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,3,1,0,0,1,6,4,10,1,1,1,1,1,2,4,10,10,3,0,1,2,52,54,25,0,3,0,0,2,2,2,1,1,1
394,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,3,3,0,3,0,10,2,5,1,1,1,1,1,3,7,2,9,3,3,1,4,52,54,36,2,3,2,2,1,1,1,0,2,1
395,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,3,2,5,8,4,5,1,1,2,1,1,2,3,4,5,2,1,1,4,6,7,37,1,3,2,0,1,1,2,0,1,1
398,1,0,0,0,0,1,1,0,3,1,1,1,2,1,0,1,1,0,1,0,3,1,0,0,1,8,3,8,1,1,1,1,0,2,5,8,8,3,0,0,2,52,54,32,0,3,0,0,1,1,2,1,2,1
399,1,0,0,0,0,0,1,0,2,1,1,0,2,2,2,0,0,1,0,0,1,1,0,1,1,6,5,5,4,1,1,1,1,3,5,7,4,3,0,0,1,52,54,23,1,3,1,0,0,2,1,0,1,1
400,1,0,0,0,0,0,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,2,1,8,4,10,2,4,2,1,1,4,9,6,6,4,3,0,0,52,54,35,0,3,2,0,1,1,1,0,2,1
401,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,2,1,7,4,7,2,3,1,1,1,0,0,5,5,3,0,1,0,52,54,34,0,3,2,0,1,1,2,1,2,2
402,1,0,0,0,0,1,1,0,3,1,1,0,2,2,1,0,0,0,0,3,1,0,1,1,1,1,5,5,4,1,1,1,1,0,0,9,8,3,1,0,1,52,54,24,0,3,0,0,0,0,1,1,1,1
403,1,1,0,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,2,1,9,4,7,2,4,2,1,1,3,5,7,7,3,0,0,0,52,54,38,1,3,1,2,1,1,2,0,2,1
404,1,0,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,1,0,1,3,1,1,0,4,2,2,4,2,1,1,3,3,5,5,3,0,1,2,51,53,42,1,3,2,2,0,0,1,1,1,1
405,1,0,0,0,0,1,1,0,2,2,1,1,1,1,0,0,0,0,0,3,0,3,0,1,1,5,5,6,1,1,1,1,1,3,2,8,8,4,0,0,1,52,54,23,0,3,2,0,2,2,2,0,2,1
406,1,0,0,1,0,1,1,0,3,2,1,1,1,1,2,1,1,1,1,1,3,1,3,0,1,7,5,7,4,4,2,1,1,2,4,6,7,3,0,0,2,52,54,39,1,3,1,0,1,2,1,0,1,1
407,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,3,0,0,3,1,10,1,4,2,3,2,1,1,3,7,5,6,3,0,1,0,52,54,30,1,3,0,0,0,2,1,1,2,1
408,1,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,5,5,5,1,1,2,1,1,3,7,10,10,4,0,1,2,52,54,35,0,3,2,0,2,1,1,0,0,1
409,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,3,1,1,4,3,4,4,1,1,0,0,0,4,1,1,0,1,0,52,54,29,0,3,0,0,0,2,1,1,2,1
410,1,0,0,0,0,0,1,0,0,2,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,8,3,5,1,1,2,1,1,6,6,8,8,3,0,0,2,52,54,24,0,3,0,0,1,1,1,1,3,1
